house_link,house_price,house_title,published_in
https://albany.craigslist.org/apa/d/troy-br-available-now-pawling-ave-troy/7496326115.html,"$1,207","$1207 /2Br Available Now, Pawling Ave., Troy",2022-07-04 23:51
https://albany.craigslist.org/apa/d/pinetree-apartments-free-internet-cable/7500140093.html,$986,// PINETREE APARTMENTS/ Free Internet & Cable,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-large-bedroom/7499052763.html,"$1,350",large 3 bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-bedroom/7499049250.html,$950,1 bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-nice-2nd-fl-bedroom/7499045967.html,$995,nice 2nd fl 2 bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-beautiful-spacious-bed-bath/7504194004.html,$980,"Beautiful, spacious 2 bed 1 Bath Apartment at Broadway",2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-nice-section-apartment-available/7502804807.html,$975,"Nice Section 8 Apartment available, Quiet neighborhood",2022-07-04 23:51
https://albany.craigslist.org/apa/d/schaghticoke-bedroom-home-for-rent/7499184231.html,"$1,550",2 bedroom home for rent,2022-07-04 23:51
https://albany.craigslist.org/apa/d/esperance-4br-15-bath-large-house-for/7497507635.html,"$1,900",4br 1.5 bath large house for rent,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-spacious-bed-bath-duplex-in/7504076686.html,$750,"@@Spacious 2 bed, 1 bath Duplex in Albany, NY!!",2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-spacious-bed-bath-duplex-in/7504076685.html,$750,"@@Spacious 2 bed, 1 bath Duplex in Albany, NY!!",2022-07-04 23:51
https://albany.craigslist.org/apa/d/saratoga-springs-summer-on-east-side/7504045333.html,"$2,000",Summer on East side near the track in town Saratoga Sprgs,2022-07-04 23:51
https://albany.craigslist.org/apa/d/saratoga-springs-summer-on-east-side/7504042681.html,"$2,000",Summer on East side near the track in town Saratoga Sprgs,2022-07-04 23:51
https://albany.craigslist.org/apa/d/saratoga-springs-summer-on-east-side/7504039033.html,"$2,000",Summer on East side near the track in town Saratoga Sprgs,2022-07-04 23:51
https://albany.craigslist.org/apa/d/saratoga-springs-bdrm-in-saratoga/7504038839.html,"$2,300",2 bdrm in Saratoga Springs includes utilities & furnished clean & cozy,2022-07-04 23:51
https://albany.craigslist.org/apa/d/saratoga-springs-september-in-saratoga/7504038258.html,"$2,300",September in Saratoga 2 bdrm rental incl util furnished clean & cozy,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-convenient-downtown-albany/7504037262.html,$975,Convenient downtown Albany location,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-bedroom-bath-apartment-355-state/7504015210.html,"$1,800","2 Bedroom 2 bath Apartment 355 State Street, Center Square Albany NY",2022-07-04 23:51
https://albany.craigslist.org/apa/d/jackson-ave-schenectady-one-bedroom-2nd/7492898654.html,$865,"Jackson Ave., Schenectady, 1 one bedroom, 2nd Fl with utilities.  $865",2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-the-lofts-at-frog-alley-1br/7503965913.html,"$2,034",The Lofts at Frog Alley  1BR 1BA  with Balcony #402,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-electric-city-luxury/7503965335.html,"$1,935",Electric City Luxury apartments 1BA 1BA with balcony #208,2022-07-04 23:51
https://albany.craigslist.org/apa/d/port-ewen-completely-renovated-bdrm/7492129479.html,"$1,145",Completely Renovated 1 Bdrm Near Rondout Dist. in Kingston,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-large-renovated-in-charming/7502939851.html,"$1,095",Large Renovated in Charming Stockade Dist Schenectady,2022-07-04 23:51
https://albany.craigslist.org/apa/d/castleton-on-hudson-spacious-sun-filled/7502930522.html,"$1,445",Spacious & Sun Filled 2 Bed in Schodack,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-beautiful-bedroom-2nd-floor-unit/7503949216.html,"$1,500",BEAUTIFUL 3-BEDROOM 2nd FLOOR UNIT WITH BALCONY at 390 Morris Street,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-house-for-rent/7503945623.html,"$2,300",House for Rent,2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-troy-nicely-renovated-br/7503919010.html,"$1,250",Troy - nicely renovated 4 BR,2022-07-04 23:51
https://albany.craigslist.org/apa/d/valley-falls-bedroom-flat/7493794804.html,"$1,200",3 bedroom flat,2022-07-04 23:51
https://albany.craigslist.org/apa/d/guilderland-bedroom-newly-renovated/7503885476.html,"$1,708",2 Bedroom - Newly Renovated - Heat & Hot Water Included,2022-07-04 23:51
https://albany.craigslist.org/apa/d/guilderland-bedroom-heat-and-hot-water/7503884134.html,"$1,593",2 Bedroom - Heat and Hot Water INCLUDED,2022-07-04 23:51
https://albany.craigslist.org/apa/d/guilderland-youll-want-to-see-this/7503883089.html,"$1,593",You'll Want to See This,2022-07-04 23:51
https://albany.craigslist.org/apa/d/cherry-hill-apartments-152-mccarthy-ave/7497607234.html,"$1,075",Cherry Hill Apartments 152 McCarthy Ave,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-gorgeous-modern-bedroom/7501510056.html,"$1,800","Gorgeous, Modern 2 bedroom",2022-07-04 23:51
https://albany.craigslist.org/apa/d/troy-attractive-bedroom/7503869627.html,$875,Attractive 2 bedroom,2022-07-04 23:51
https://albany.craigslist.org/apa/d/albany-large-bedroom-across-street-from/7503863722.html,"$1,300",Large 1 Bedroom Across Street from UAlbany,2022-07-04 23:51
https://albany.craigslist.org/apa/d/schenectady-van-vranken-near-union/7503862881.html,$800,Van Vranken/Near Union College,2022-07-04 23:51
https://albany.craigslist.org/apa/d/clifton-park-925-one-bedroom-hw-included/7503861681.html,$925,$925 One Bedroom - H/HW Included,2022-07-04 23:51
https://albany.craigslist.org/apa/d/clifton-park-bedroom-hw-included/7493467795.html,$925,1 Bedroom H/HW Included,2022-07-04 23:51
